"id","state_id:id","name","code"
srdc_sale.district_hcm_cg,l10n_vn.state_vn_VN-SG,"Huyện Cần Giờ","CG"
srdc_sale.district_hcm_nb,l10n_vn.state_vn_VN-SG,"Huyện Nhà Bè","NB"
srdc_sale.district_hcm_bc,l10n_vn.state_vn_VN-SG,"Huyện Bình Chánh","BC"
srdc_sale.district_hcm_hm,l10n_vn.state_vn_VN-SG,"Huyện Hóc Môn","HM"
srdc_sale.district_hcm_cc,l10n_vn.state_vn_VN-SG,"Huyện Củ Chi","CC"
srdc_sale.district_hcm_bt,l10n_vn.state_vn_VN-SG,"Quận Bình Tân","BT"
srdc_sale.district_hcm_pn,l10n_vn.state_vn_VN-SG,"Quận Phú Nhuận","PN"
srdc_sale.district_hcm_tp,l10n_vn.state_vn_VN-SG,"Quận Tân Phú","TP"
srdc_sale.district_hcm_tb,l10n_vn.state_vn_VN-SG,"Quận Tân Bình","TB"
srdc_sale.district_hcm_bth,l10n_vn.state_vn_VN-SG,"Quận Bình Thạnh","BTH"
srdc_sale.district_hcm_gv,l10n_vn.state_vn_VN-SG,"Quận Gò Vấp","GV"
srdc_sale.district_hcm_td,l10n_vn.state_vn_VN-SG,"Quận Thủ Đức","TD"
srdc_sale.district_hcm_1,l10n_vn.state_vn_VN-SG,"Quận 1","1"
srdc_sale.district_hcm_2,l10n_vn.state_vn_VN-SG,"Quận 2","2"
srdc_sale.district_hcm_3,l10n_vn.state_vn_VN-SG,"Quận 3","3"
srdc_sale.district_hcm_4,l10n_vn.state_vn_VN-SG,"Quận 4","4"
srdc_sale.district_hcm_5,l10n_vn.state_vn_VN-SG,"Quận 5","5"
srdc_sale.district_hcm_6,l10n_vn.state_vn_VN-SG,"Quận 6","6"
srdc_sale.district_hcm_7,l10n_vn.state_vn_VN-SG,"Quận 7","7"
srdc_sale.district_hcm_8,l10n_vn.state_vn_VN-SG,"Quận 8","8"
srdc_sale.district_hcm_9,l10n_vn.state_vn_VN-SG,"Quận 9","9"
srdc_sale.district_hcm_10,l10n_vn.state_vn_VN-SG,"Quận 10","10"
srdc_sale.district_hcm_11,l10n_vn.state_vn_VN-SG,"Quận 11","11"
srdc_sale.district_hcm_12,l10n_vn.state_vn_VN-SG,"Quận 12","12"
srdc_sale.district_hn_bd,l10n_vn.state_vn_VN-HN,"Quận Ba Đình","BD"
srdc_sale.district_hn_hk,l10n_vn.state_vn_VN-HN,"Quận Hoàn Kiếm","HK"
srdc_sale.district_hn_hbt,l10n_vn.state_vn_VN-HN,"Quận Hai Bà Trưng","HBT"
srdc_sale.district_hn_dd,l10n_vn.state_vn_VN-HN,"Quận Đống Đa","DD"
srdc_sale.district_hn_th,l10n_vn.state_vn_VN-HN,"Quận Tây Hồ","TH"
srdc_sale.district_hn_cg,l10n_vn.state_vn_VN-HN,"Quận Cầu Giấy","CG"
srdc_sale.district_hn_tx,l10n_vn.state_vn_VN-HN,"Quận Thanh Xuân","TX"
srdc_sale.district_hn_hm,l10n_vn.state_vn_VN-HN,"Quận Hoàng Mai","HM"
srdc_sale.district_hn_lb,l10n_vn.state_vn_VN-HN,"Quận Long Biên","LB"
srdc_sale.district_hn_tl,l10n_vn.state_vn_VN-HN,"Quận Từ Liêm","TL"
srdc_sale.district_hn_hdg,l10n_vn.state_vn_VN-HN,"Quận Hà Đông","HDG"
srdc_sale.district_hn_tt,l10n_vn.state_vn_VN-HN,"Huyện Thanh Trì","TT"
srdc_sale.district_hn_gl,l10n_vn.state_vn_VN-HN,"Huyện Gia Lâm","GL"
srdc_sale.district_hn_da,l10n_vn.state_vn_VN-HN,"Huyện Đông Anh","DA"
srdc_sale.district_hn_ss,l10n_vn.state_vn_VN-HN,"Huyện Sóc Sơn","SS"
srdc_sale.district_hn_bv,l10n_vn.state_vn_VN-HN,"Huyện Ba Vì","BV"
srdc_sale.district_hn_pt,l10n_vn.state_vn_VN-HN,"Huyện Phúc Thọ","PT"
srdc_sale.district_hn_tth,l10n_vn.state_vn_VN-HN,"Huyện Thạch Thất","TTH"
srdc_sale.district_hn_qa,l10n_vn.state_vn_VN-HN,"Huyện Quốc Oai","QA"
srdc_sale.district_hn_cm,l10n_vn.state_vn_VN-HN,"Huyện Chương Mỹ","CM"
srdc_sale.district_hn_dp,l10n_vn.state_vn_VN-HN,"Huyện Đan Phượng","DP"
srdc_sale.district_hn_hd,l10n_vn.state_vn_VN-HN,"Huyện Hoài Đức","HD"
srdc_sale.district_hn_to,l10n_vn.state_vn_VN-HN,"Huyện Thanh Oai","TO"
srdc_sale.district_hn_md,l10n_vn.state_vn_VN-HN,"Huyện Mỹ Đức","MD"
srdc_sale.district_hn_uh,l10n_vn.state_vn_VN-HN,"Huyện Ứng Hoà","UH"
srdc_sale.district_hn_tht,l10n_vn.state_vn_VN-HN,"Huyện Thường Tín","THT"
srdc_sale.district_hn_px,l10n_vn.state_vn_VN-HN,"Huyện Phú Xuyên","PX"
srdc_sale.district_hn_ml,l10n_vn.state_vn_VN-HN,"Huyện Mê Linh","ML"
srdc_sale.district_hn_st,l10n_vn.state_vn_VN-HN,"Thị xã Sơn Tây","ST"
